20:09:34 web.1  | started with pid 28351
20:09:42 web.1  | [2012-08-26 20:09:42] INFO  WEBrick 1.3.1
20:09:42 web.1  | [2012-08-26 20:09:42] INFO  ruby 1.9.2 (2012-04-20) [x86_64-linux]
20:09:42 web.1  | [2012-08-26 20:09:42] INFO  WEBrick::HTTPServer#start: pid=28351 port=5000
20:11:58 web.1  | 172.16.22.63 - - [26/Aug/2012 20:11:58] "GET / HTTP/1.1" 200 2847 0.0156
20:11:58 web.1  | 172.16.22.63 - - [26/Aug/2012 20:11:58] "GET /js/jquery-1.5.2.min.js HTTP/1.1" 304 - 0.0382
20:11:58 web.1  | 172.16.22.63 - - [26/Aug/2012 20:11:58] "GET /js/bootstrap-dropdown.js HTTP/1.1" 304 - 0.0341
20:11:58 web.1  | 172.16.22.63 - - [26/Aug/2012 20:11:58] "GET /js/bootstrap-scrollspy.js HTTP/1.1" 304 - 0.0165
20:11:58 web.1  | 172.16.22.63 - - [26/Aug/2012 20:11:58] "GET /js/less-1.1.3.min.js HTTP/1.1" 304 - 0.0099
20:11:58 web.1  | 172.16.22.63 - - [26/Aug/2012 20:11:58] "GET /js/bootstrap-twipsy.js HTTP/1.1" 304 - 0.0553
20:11:58 web.1  | 172.16.22.63 - - [26/Aug/2012 20:11:58] "GET /js/jquery.tablesorter.min.js HTTP/1.1" 304 - 0.0467
20:11:58 web.1  | 172.16.22.63 - - [26/Aug/2012 20:11:58] "GET /js/bootstrap-popover.js HTTP/1.1" 304 - 0.0009
20:11:58 web.1  | 172.16.22.63 - - [26/Aug/2012 20:11:58] "GET /lib/bootstrap.less HTTP/1.1" 304 - 0.0007
20:11:58 web.1  | 172.16.22.63 - - [26/Aug/2012 20:11:58] "GET /lib/reset.less HTTP/1.1" 304 - 0.0007
20:11:58 web.1  | 172.16.22.63 - - [26/Aug/2012 20:11:58] "GET /lib/variables.less HTTP/1.1" 304 - 0.0008
20:11:58 web.1  | 172.16.22.63 - - [26/Aug/2012 20:11:58] "GET /lib/mixins.less HTTP/1.1" 304 - 0.0007
20:11:58 web.1  | 172.16.22.63 - - [26/Aug/2012 20:11:58] "GET /lib/scaffolding.less HTTP/1.1" 304 - 0.0016
20:11:58 web.1  | 172.16.22.63 - - [26/Aug/2012 20:11:58] "GET /lib/type.less HTTP/1.1" 304 - 0.0013
20:11:58 web.1  | 172.16.22.63 - - [26/Aug/2012 20:11:58] "GET /lib/forms.less HTTP/1.1" 304 - 0.0015
20:11:58 web.1  | 172.16.22.63 - - [26/Aug/2012 20:11:58] "GET /lib/tables.less HTTP/1.1" 304 - 0.0018
20:11:58 web.1  | 172.16.22.63 - - [26/Aug/2012 20:11:58] "GET /lib/patterns.less HTTP/1.1" 304 - 0.0017
20:11:59 web.1  | 172.16.22.63 - - [26/Aug/2012 20:11:59] "GET /favicon.ico HTTP/1.1" 404 450 0.0021
20:12:01 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:01] "GET / HTTP/1.1" 200 2847 0.0203
20:12:02 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:02] "GET /js/bootstrap-scrollspy.js HTTP/1.1" 304 - 0.0027
20:12:02 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:02] "GET /js/bootstrap-twipsy.js HTTP/1.1" 304 - 0.0014
20:12:02 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:02] "GET /js/jquery.tablesorter.min.js HTTP/1.1" 304 - 0.0216
20:12:02 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:02] "GET /js/bootstrap-dropdown.js HTTP/1.1" 304 - 0.0362
20:12:02 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:02] "GET /js/jquery-1.5.2.min.js HTTP/1.1" 304 - 0.0010
20:12:02 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:02] "GET /js/less-1.1.3.min.js HTTP/1.1" 304 - 0.0069
20:12:02 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:02] "GET /js/bootstrap-popover.js HTTP/1.1" 304 - 0.0063
20:12:02 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:02] "GET /lib/bootstrap.less HTTP/1.1" 304 - 0.0091
20:12:02 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:02] "GET /lib/reset.less HTTP/1.1" 304 - 0.0064
20:12:02 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:02] "GET /lib/variables.less HTTP/1.1" 304 - 0.0568
20:12:02 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:02] "GET /lib/mixins.less HTTP/1.1" 304 - 0.0009
20:12:02 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:02] "GET /lib/scaffolding.less HTTP/1.1" 304 - 0.0009
20:12:02 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:02] "GET /lib/type.less HTTP/1.1" 304 - 0.0008
20:12:02 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:02] "GET /lib/forms.less HTTP/1.1" 304 - 0.0035
20:12:02 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:02] "GET /lib/tables.less HTTP/1.1" 304 - 0.0010
